Protein-protein complex	ΔG (kcal mol-1)	Kd (M) at 25.0 ℃
O14788_O00300	-19.4	6.0E-15	
O14788_O14763	-15.4	4.9E-12	
O14788_P08138	-19.3	7.6E-15	
O14788_P19438	-17.3	2.2E-13	
O14788_P20333	-13.8	7.3E-11	
O14788_P36941	-15.4	5.0E-12	
O14788_Q92956	-14.2	3.7E-11	
O14788_Q9UNE0	-17.6	1.3E-13	
O14788_Q9Y6Q6	-17.4	1.9E-13	
O95150_O00220	-6.2	2.7E-05	
O95150_O00300	-15.5	4.3E-12	
O95150_O14763	-12.3	9.2E-10	
O95150_O75509	-14.8	1.4E-11	
O95150_O95407	-14.7	1.7E-11	
O95150_P19438	-11.7	2.7E-09	
O95150_P20333	-12.3	9.9E-10	
O95150_P25942	-11.5	3.4E-09	
O95150_P26842	-10.5	1.9E-08	
O95150_P28908	-12.4	7.4E-10	
O95150_P36941	-11.8	2.4E-09	
O95150_P43489	-10.1	4.2E-08	
O95150_Q93038	-16.4	1.0E-12	
O95150_Q9HAV5	-12.1	1.4E-09	
O95150_Q9UNE0	-14.7	1.7E-11	
O95150_Q9Y6Q6	-14.1	4.7E-11	
P01374_O00300	-18.3	3.5E-14	
P01374_P08138	-19.0	1.2E-14	
P01374_P19438	-14.3	3.0E-11	
P01374_P20333	-11.8	2.1E-09	
P01374_P25445	-7.4	3.8E-06	
P01374_P25942	-9.7	7.1E-08	
P01374_P26842	-12.4	7.8E-10	
P01374_P28908	-13.6	1.1E-10	
P01374_P36941	-13.2	1.9E-10	
P01374_Q92956	-11.8	2.4E-09	
P01374_Q93038	-15.2	6.9E-12	
P01374_Q9NS68	-9.0	2.6E-07	
P01374_Q9Y6Q6	-16.1	1.7E-12	
P01375_O00220	-11.0	9.3E-09	
P01375_O00300	-16.0	1.7E-12	
P01375_O14763	-11.7	2.6E-09	
P01375_O75509	-17.4	1.8E-13	
P01375_P08138	-16.5	7.3E-13	
P01375_P19438	-11.4	4.3E-09	
P01375_P20333	-10.8	1.2E-08	
P01375_P25445	-13.3	1.8E-10	
P01375_P25942	-10.0	4.3E-08	
P01375_P26842	-11.8	2.1E-09	
P01375_P28908	-10.3	2.8E-08	
P01375_P36941	-12.5	6.6E-10	
P01375_P43489	-13.9	6.1E-11	
P01375_Q92956	-10.8	1.2E-08	
P01375_Q93038	-13.6	1.0E-10	
P01375_Q9HAV5	-10.3	2.8E-08	
P01375_Q9NS68	-10.8	1.3E-08	
P01375_Q9UNE0	-11.4	4.5E-09	
P01375_Q9Y6Q6	-14.9	1.2E-11	
P48023_O00220	-12.1	1.3E-09	
P48023_O00300	-16.0	1.9E-12	
P48023_O14763	-12.4	8.0E-10	
P48023_O14798	-10.3	2.8E-08	
P48023_O75509	-14.4	2.7E-11	
P48023_O95407	-13.4	1.5E-10	
P48023_P08138	-14.8	1.3E-11	
P48023_P19438	-12.9	3.7E-10	
P48023_P20333	-9.7	7.1E-08	
P48023_P25445	-11.9	2.0E-09	
P48023_P25942	-9.2	1.8E-07	
P48023_P26842	-11.2	6.1E-09	
P48023_P28908	-10.1	3.7E-08	
P48023_P36941	-14.3	3.5E-11	
P48023_P43489	-12.1	1.3E-09	
P48023_Q92956	-11.8	2.1E-09	
P48023_Q93038	-15.9	2.1E-12	
P48023_Q9HAV5	-12.6	5.8E-10	
P48023_Q9NS68	-11.5	3.8E-09	
P48023_Q9UBN6	-13.2	1.9E-10	
P48023_Q9UNE0	-11.7	2.7E-09	
P48023_Q9Y6Q6	-15.0	9.4E-12	
P50591_O00220	-12.8	3.8E-10	
P50591_O00300	-23.1	1.2E-17	
P50591_O14763	-20.7	6.4E-16	
P50591_O14798	-9.8	6.9E-08	
